"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","Masters","Divorced","Sales","Not in family","White"," Male","<= 50K USD"
"Private","11th","Never married","Transportation","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Mechanic","Other","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Other","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Masters","Never married","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Local gov","HS grad","Widowed","Other service","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","5th to 6th","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","Black"," Male","> 50K USD"
"Private","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Local gov","7th to 8th","Divorced","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","12th","Never married","Handlers and cleaners","Own child","Native American"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"State gov","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Divorced","Prof specialty","Not in family","Asian"," Female","<= 50K USD"
"Self emp inc","HS grad","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Local gov","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Executive","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","Other"," Female","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Self emp inc","Bachelors","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp not inc","11th","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Prof school","Divorced","Prof specialty","Unmarried","White"," Female","> 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Other service","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Other service","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Married spouse absent","Prof specialty","Not in family","Asian"," Female","<= 50K USD"
"Private","Assoc voc","Never married","Admin","Not in family","Black"," Female","<= 50K USD"
"Local gov","Assoc acdm","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Divorced","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Self emp not inc","Assoc voc","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Local gov","Some college","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Federal gov","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","12th","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Sales","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Separated","Other service","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Separated","Executive","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Farming and fishing","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Federal gov","HS grad","Divorced","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Prof school","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp inc","9th","Divorced","Sales","Not in family","White"," Male","<= 50K USD"
"Local gov","Masters","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Divorced","Executive","Not in family","Black"," Female","<= 50K USD"
"Private","7th to 8th","Divorced","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Self emp inc","Masters","Divorced","Executive","Unmarried","Asian"," Male","> 50K USD"
"Private","10th","Divorced","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","5th to 6th","Widowed","Other service","Unmarried","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Doctorate","Married to civilian","Executive","Husband","Asian"," Male","> 50K USD"
"Private","Masters","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Handlers and cleaners","Husband","Black"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","9th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","12th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Preschool","Married to civilian","Prof specialty","Husband","Other"," Male","<= 50K USD"
"Private","Prof school","Divorced","Prof specialty","Not in family","White"," Male","> 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Other","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Mechanic","Own child","Black"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","Black"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"State gov","Some college","Married to civilian","Prof specialty","Husband","Black"," Male","> 50K USD"
"Private","Some college","Never married","Transportation","Unmarried","White"," Female","<= 50K USD"
"Federal gov","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","9th","Never married","Farming and fishing","Other","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"State gov","10th","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Local gov","Some college","Divorced","Executive","Not in family","Native American"," Female","<= 50K USD"
"Self emp not inc","HS grad","Widowed","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","Some college","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","11th","Divorced","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Protective service","Unmarried","Native American"," Female","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Assoc voc","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married spouse absent","Admin","Not in family","White"," Female","<= 50K USD"
"Local gov","Doctorate","Widowed","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Divorced","Tech support","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Other service","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","Masters","Divorced","Executive","Not in family","White"," Female","> 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Widowed","Executive","Not in family","White"," Female","<= 50K USD"
"State gov","Bachelors","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Craft and Repair","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Never married","Sales","Own child","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Self emp not inc","10th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","11th","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Other service","Other","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","5th to 6th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Mechanic","Other","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Separated","Executive","Not in family","White"," Female","<= 50K USD"
"Private","1st to 4th","Married spouse absent","Farming and fishing","Other","White"," Male","<= 50K USD"
"Local gov","Assoc voc","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","10th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"State gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"State gov","Some college","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","Native American"," Male","<= 50K USD"
"Private","10th","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","11th","Married to civilian","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married spouse absent","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Federal gov","HS grad","Divorced","Admin","Not in family","White"," Male","<= 50K USD"
"Federal gov","HS grad","Never married","Admin","Own child","Black"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Separated","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","11th","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Separated","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Assoc voc","Divorced","Executive","Not in family","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Protective service","Husband","Black"," Male","> 50K USD"
"Local gov","Bachelors","Divorced","Prof specialty","Unmarried","Black"," Female","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Local gov","HS grad","Married to civilian","Admin","Other","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","10th","Widowed","Craft and Repair","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Self emp inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Not in family","Other"," Male","<= 50K USD"
"Federal gov","Assoc voc","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Protective service","Husband","Black"," Male","> 50K USD"
"Federal gov","Bachelors","Never married","Executive","Other","Asian"," Female","<= 50K USD"
"Private","Some college","Never married","Protective service","Own child","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","Black"," Male","<= 50K USD"
"Private","Some college","Divorced","Protective service","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","Asian"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Admin","Own child","Black"," Female","<= 50K USD"
"Private","11th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"Private","Some college","Never married","Protective service","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Other","Black"," Male","<= 50K USD"
"Private","12th","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Handlers and cleaners","Husband","White"," Male","> 50K USD"
"Private","Some college","Separated","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","HS grad","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"State gov","HS grad","Married to civilian","Admin","Other","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Not in family","Black"," Female","<= 50K USD"
"Self emp inc","Bachelors","Widowed","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","Other"," Female","<= 50K USD"
"Local gov","HS grad","Separated","Other service","Own child","White"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","10th","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Assoc acdm","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Married to civilian","Tech support","Wife","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","7th to 8th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Self emp not inc","Bachelors","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Never married","Craft and Repair","Not in family","White"," Male","> 50K USD"
"Local gov","HS grad","Never married","Prof specialty","Own child","Black"," Female","<= 50K USD"
"Self emp not inc","11th","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Local gov","Masters","Separated","Prof specialty","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Assoc voc","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Farming and fishing","Husband","Asian"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Local gov","Bachelors","Never married","Prof specialty","Own child","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Other service","Husband","Asian"," Male","<= 50K USD"
"Private","HS grad","Widowed","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Executive","Not in family","Black"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","12th","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","11th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp inc","Assoc voc","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Federal gov","HS grad","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Separated","Sales","Not in family","White"," Male","<= 50K USD"
"Private","10th","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Admin","Own child","Black"," Male","<= 50K USD"
"Self emp inc","Assoc voc","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Unmarried","Other"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Executive","Not in family","White"," Female","<= 50K USD"
"Federal gov","Some college","Divorced","Prof specialty","Not in family","Black"," Female","<= 50K USD"
"Private","Assoc voc","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","10th","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Local gov","Some college","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","12th","Divorced","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married spouse absent","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Federal gov","Some college","Never married","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","Asian"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
